what,kind,bundleId,bundleVersion,description,time
started,bundle,com.collabnet.subversion.merge,3.0.9,"com.collabnet.subversion.merge",1351975846171
started,bundle,org.tigris.subversion.clientadapter,1.8.3,"org.tigris.subversion.clientadapter",1351975846171
started,bundle,org.tigris.subversion.subclipse.core,1.8.13,"org.tigris.subversion.subclipse.core",1351975846171
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1351975846171
started,bundle,org.tigris.subversion.subclipse.tools.usage,1.1.0,"org.tigris.subversion.subclipse.tools.usage",1351975846171
started,bundle,org.tigris.subversion.subclipse.ui,1.8.14,"org.tigris.subversion.subclipse.ui",1351975846172
started,bundle,org.eclipse.m2e.discovery,1.1.0.20120530-0009,"org.eclipse.m2e.discovery",1351975846172
started,bundle,org.eclipse.m2e.logback.configuration,1.1.0.20120530-0009,"org.eclipse.m2e.logback.configuration",1351975846172
os,sysinfo,,,"win32",1351975846176
arch,sysinfo,,,"x86",1351975846176
ws,sysinfo,,,"win32",1351975846176
locale,sysinfo,,,"en_US",1351975846176
processors,sysinfo,,,"2",1351975846176
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1351975846176
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1351975846176
java.specification.name,sysinfo,,,"Java Platform API Specification",1351975846176
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1351975846176
java.specification.version,sysinfo,,,"1.6",1351975846176
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1351975846176
java.version,sysinfo,,,"1.6.0_22",1351975846176
java.vm.info,sysinfo,,,"mixed mode, sharing",1351975846176
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1351975846176
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1351975846176
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1351975846176
java.vm.specification.version,sysinfo,,,"1.0",1351975846176
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1351975846176
java.vm.version,sysinfo,,,"17.1-b03",1351975846176
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1351975846789
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1351975846792
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1351975846883
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1351975847072
activated,view,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.ProjectExplorer",1351975847082
closed,view,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.internal.introview",1351975847113
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351975847907
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351975850086
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351975854264
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351975869984
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1351975869999
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351975873157
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351975896825
executed,command,org.eclipse.ui.ide,3.7.0.I20110519-0100,"org.eclipse.ui.edit.text.openLocalFile",1351975896896
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351975905018
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351975911472
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.import",1351975911482
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351975912698
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351975914080
closed,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1351975914243
